day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1.0,6.0,2012.0,29.0,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,not fire,1
2.0,6.0,2012.0,29.0,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,not fire,1
3.0,6.0,2012.0,26.0,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire,1
4.0,6.0,2012.0,25.0,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.7,0.0,not fire,1
5.0,6.0,2012.0,27.0,77.0,16.0,0.0,64.8,3.0,14.2,1.2,3.9,0.5,not fire,1
6.0,6.0,2012.0,31.0,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7.0,2.5,fire,1
7.0,6.0,2012.0,33.0,54.0,13.0,0.0,88.2,9.9,30.5,6.4,10.9,7.2,fire,1
8.0,6.0,2012.0,30.0,73.0,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,fire,1
9.0,6.0,2012.0,25.0,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire,1
10.0,6.0,2012.0,28.0,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,not fire,1
11.0,6.0,2012.0,31.0,65.0,14.0,0.0,84.5,12.5,54.3,4.0,15.8,5.6,fire,1
12.0,6.0,2012.0,26.0,81.0,19.0,0.0,84.0,13.8,61.4,4.8,17.7,7.1,fire,1
13.0,6.0,2012.0,27.0,84.0,21.0,1.2,50.0,6.7,17.0,0.5,6.7,0.2,not fire,1
14.0,6.0,2012.0,30.0,78.0,20.0,0.5,59.0,4.6,7.8,1.0,4.4,0.4,not fire,1
15.0,6.0,2012.0,28.0,80.0,17.0,3.1,49.4,3.0,7.4,0.4,3.0,0.1,not fire,1
16.0,6.0,2012.0,29.0,89.0,13.0,0.7,36.1,1.7,7.6,0.0,2.2,0.0,not fire,1
17.0,6.0,2012.0,30.0,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,not fire,1
18.0,6.0,2012.0,31.0,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,not fire,1
19.0,6.0,2012.0,31.0,55.0,16.0,0.1,79.9,4.5,16.0,2.5,5.3,1.4,not fire,1
20.0,6.0,2012.0,30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire,1
21.0,6.0,2012.0,30.0,78.0,14.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,fire,1
22.0,6.0,2012.0,31.0,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,not fire,1
23.0,6.0,2012.0,32.0,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire,1
24.0,6.0,2012.0,32.0,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,fire,1
